Match History
Match ID,match_20251104_151731
Date,2025-11-04T15:17:31.081250Z
Player 1,You
Player 2,CPU
Board Size,15x15
Time per Move,20s
Winner,CPU

Timestamp,You Moves,CPU Moves
2025-11-04T15:17:32.371251Z,"[1, 3, 8]",
2025-11-04T15:17:32.398250Z,,"[2, 5, 7]"
2025-11-04T15:17:33.310251Z,"[3, 3, 7]",
2025-11-04T15:17:33.338251Z,,"[4, 6, 7]"
2025-11-04T15:17:33.677254Z,"[5, 5, 5]",
2025-11-04T15:17:33.707329Z,,"[6, 7, 7]"
2025-11-04T15:17:33.976302Z,"[7, 8, 11]",
2025-11-04T15:17:34.014293Z,,"[8, 8, 7]"
2025-11-04T15:17:34.318140Z,"[9, 10, 6]",
2025-11-04T15:17:34.334148Z,,"[10, 4, 7]"
