Match History
Match ID,match_20251029_043309
Date,2025-10-29T04:33:09.685603Z
Player 1,You
Player 2,P2
Board Size,13x13
Time per Move,20s
Winner,You

Timestamp,You Moves,P2 Moves
2025-10-29T04:33:10.381612Z,"[1, 3, 7]",
2025-10-29T04:33:10.978800Z,,"[2, 4, 7]"
2025-10-29T04:33:11.812683Z,"[3, 3, 6]",
2025-10-29T04:33:12.393755Z,,"[4, 4, 6]"
2025-10-29T04:33:13.007171Z,"[5, 3, 5]",
2025-10-29T04:33:13.671424Z,,"[6, 4, 5]"
2025-10-29T04:33:14.338801Z,"[7, 3, 4]",
2025-10-29T04:33:14.968961Z,,"[8, 4, 4]"
2025-10-29T04:33:15.610967Z,"[9, 3, 3]",
