Match History
Match ID,match_20251104_123919
Date,2025-11-04T12:39:19.272961Z
Player 1,You
Player 2,P2
Board Size,15x15
Time per Move,20s
Winner,You

Timestamp,You Moves,P2 Moves
2025-11-04T12:39:19.904973Z,"[1, 7, 7]",
2025-11-04T12:39:20.118971Z,,"[2, 5, 8]"
2025-11-04T12:39:20.282970Z,"[3, 7, 10]",
2025-11-04T12:39:20.738963Z,,"[4, 6, 8]"
2025-11-04T12:39:21.036963Z,"[5, 7, 8]",
2025-11-04T12:39:21.185963Z,,"[6, 7, 9]"
2025-11-04T12:39:22.430973Z,"[7, 7, 11]",
2025-11-04T12:39:22.694965Z,,"[8, 8, 11]"
2025-11-04T12:39:22.937964Z,"[9, 7, 12]",
2025-11-04T12:39:23.086965Z,,"[10, 8, 12]"
2025-11-04T12:39:23.282973Z,"[11, 7, 13]",
2025-11-04T12:39:23.444974Z,,"[12, 8, 13]"
2025-11-04T12:39:23.900965Z,"[13, 7, 14]",
