Match History
Match ID,match_20251102_163024
Date,2025-11-02T16:30:24.629041Z
Player 1,You
Player 2,P2
Board Size,15x15
Time per Move,20s
Winner,You

Timestamp,You Moves,P2 Moves
2025-11-02T16:30:26.787650Z,"[1, 3, 6]",
2025-11-02T16:30:26.986996Z,,"[2, 3, 7]"
2025-11-02T16:30:27.402455Z,"[3, 4, 6]",
2025-11-02T16:30:27.598727Z,,"[4, 4, 7]"
2025-11-02T16:30:27.944764Z,"[5, 5, 6]",
2025-11-02T16:30:28.158359Z,,"[6, 5, 7]"
2025-11-02T16:30:28.510974Z,"[7, 6, 6]",
2025-11-02T16:30:28.775656Z,,"[8, 6, 7]"
2025-11-02T16:30:29.125131Z,"[9, 7, 6]",
