Match History
Match ID,match_20251103_032640
Date,2025-11-03T03:26:40.804345Z
Player 1,You
Player 2,P2
Board Size,15x15
Time per Move,20s
Winner,You

Timestamp,You Moves,P2 Moves
2025-11-03T03:26:42.694313Z,"[1, 2, 5]",
2025-11-03T03:26:43.060446Z,,"[2, 3, 5]"
2025-11-03T03:26:43.949510Z,"[3, 2, 6]",
2025-11-03T03:26:44.298822Z,,"[4, 3, 6]"
2025-11-03T03:26:44.563634Z,"[5, 2, 8]",
2025-11-03T03:26:45.388452Z,,"[6, 3, 7]"
2025-11-03T03:26:45.699782Z,"[7, 2, 7]",
2025-11-03T03:26:46.422059Z,,"[8, 3, 8]"
2025-11-03T03:26:46.719868Z,"[9, 2, 9]",
