Match History
Match ID,match_20251031_164205
Date,2025-10-31T16:42:05.347411Z
Player 1,You
Player 2,P2
Board Size,15x15
Time per Move,20s
Winner,You

Timestamp,You Moves,P2 Moves
2025-10-31T16:42:07.902238Z,"[1, 0, 7]",
2025-10-31T16:42:08.168180Z,,"[2, 0, 8]"
2025-10-31T16:42:08.718217Z,"[3, 1, 7]",
2025-10-31T16:42:08.915221Z,,"[4, 1, 8]"
2025-10-31T16:42:09.284872Z,"[5, 2, 7]",
2025-10-31T16:42:09.502961Z,,"[6, 2, 8]"
2025-10-31T16:42:09.919561Z,"[7, 3, 7]",
2025-10-31T16:42:10.185639Z,,"[8, 3, 8]"
2025-10-31T16:42:10.552792Z,"[9, 4, 7]",
